driver_role,lap_number,lap_time_s,is_fastest
Author,1,97.0084,False
Author,2,96.0844,False
Author,3,97.799696,False
Author,4,95.032096,False
Author,5,94.865096,False
Author,6,94.612096,False
Author,7,94.8344,False
Author,8,94.52010399999999,False
Author,9,94.88310399999999,False
Author,10,94.9168,False
Author,11,94.4914048,True
Author,12,95.0004,False
Author,13,94.7046,False
Author,14,94.767096,False
Author,15,95.380096,False
Author,16,95.25969599999999,False
Author,17,94.709096,False
Author,18,101.848096,False
Author,19,94.60459999999999,False
Author,20,95.469104,False
Author,21,95.0766,False
Author,22,94.93009599999999,False
Author,23,95.51039999999999,False
Author,24,101.9682,False
Author,25,94.872704,False
Author,26,104.188304,False
Reference,1,98.194904,False
Reference,2,96.341104,False
Reference,3,102.488096,False
Reference,4,104.3128,False
Reference,5,94.69019999999999,False
Reference,6,94.824096,False
Reference,7,98.293296,False
Reference,8,99.6766,False
Reference,9,94.68710399999999,True
Reference,10,94.790296,False
Reference,11,104.97350399999999,False
Reference,12,94.992696,False
Reference,13,94.81770399999999,False
Reference,14,95.066,False
Reference,15,95.0172,False
